
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61277  [2606:4700::6810:a00d]:443  ESTABLISHED     8660
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61280  [2a00:1450:4003:806::2004]:443  ESTABLISHED     8660
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61284  [2606:4700:4400::6812:2044]:80  TIME_WAIT       0
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61285  [2606:4700:4400::6812:2044]:80  TIME_WAIT       0
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61297  [2a04:4e42:86::300]:443  ESTABLISHED     8660
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61322  [2a00:1450:4003:80e::2012]:443  TIME_WAIT       0
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61324  [2a00:1450:4003:801::2003]:80  ESTABLISHED     8660
  UDP    0.0.0.0:123            *:*                                    13248
  UDP    0.0.0.0:3702           *:*                                    4136
  UDP    0.0.0.0:3702           *:*                                    4136
  UDP    0.0.0.0:5050           *:*                                    9108
  UDP    0.0.0.0:5353           *:*                                    2836
  UDP    0.0.0.0:5355           *:*                                    2836
  UDP    0.0.0.0:49454          *:*                                    8660
  UDP    0.0.0.0:49854          *:*                                    3484
  UDP    0.0.0.0:58415          *:*                                    4136
  UDP    0.0.0.0:59534          *:*                                    4276
  UDP    0.0.0.0:60587          *:*                                    2472
  UDP    25.60.14.164:137       *:*                                    4
  UDP    25.60.14.164:138       *:*                                    4
  UDP    25.60.14.164:1900      *:*                                    8004
  UDP    25.60.14.164:51538     *:*                                    8004
  UDP    127.0.0.1:1900         *:*                                    8004
  UDP    127.0.0.1:49664        *:*                                    4316
  UDP    127.0.0.1:51540        *:*                                    8004
  UDP    127.0.0.1:60585        *:*                                    2472
  UDP    192.168.1.118:137      *:*                                    4
  UDP    192.168.1.118:138      *:*                                    4
  UDP    192.168.1.118:1900     *:*                                    8004
  UDP    192.168.1.118:51539    *:*                                    8004
  UDP    192.168.1.118:59533    *:*                                    4276
  UDP    [::]:123               *:*                                    13248
  UDP    [::]:3702              *:*                                    4136
  UDP    [::]:3702              *:*                                    4136
  UDP    [::]:5353              *:*                                    2836
  UDP    [::]:5355              *:*                                    2836
  UDP    [::]:58416             *:*                                    4136
  UDP    [::1]:1900             *:*                                    8004
  UDP    [::1]:51537            *:*                                    8004
  UDP    [fe80::28f4:fcad:650f:2f23%6]:1900  *:*                                    8004
  UDP    [fe80::28f4:fcad:650f:2f23%6]:51536  *:*                                    8004
